# VRPTW Fixed Benchmark Data
# N=20  INSTANCES=10000  Q=500  K=10  T=1000  SERVICE=10
#
# Node 0 = Depot, Nodes 1..20 = Customers
# Coordinates are in [0, 100], Time windows are in [0, 1000]
# TW1=narrow(100), TW2=medium(300), TW3=wide(500)
#
# INST	NODE	X	Y	DEMAND	TW1_A	TW1_B	TW2_A	TW2_B	TW3_A	TW3_B	SERVICE
8	6	18.00	91.43	17	824	889	172	507	940	963	10
8	7	89.00	19.85	16	240	376	571	890	567	931	10
8	8	95.95	23.65	8	113	178	650	800	325	928	10
8	9	34.89	98.73	8	361	375	864	960	522	673	10
8	10	7.24	53.99	28	592	682	310	524	563	970	10
8	11	60.51	44.52	35	841	969	205	637	898	969	10
8	12	11.08	50.34	7	350	371	504	658	814	973	10
8	13	90.54	6.13	15	158	177	546	560	734	921	10
8	14	44.21	3.44	27	754	754	612	941	604	941	10
8	15	36.12	64.05	6	182	320	945	994	547	994	10
8	16	60.20	81.21	11	413	476	649	966	869	966	10
8	17	78.41	9.77	6	293	303	784	787	357	932	10
8	18	3.06	85.31	27	660	813	767	818	927	957	10
8	19	58.02	79.40	23	612	623	296	631	385	697	10
8	20	0.47	37.98	17	572	724	444	498	425	882	10
9	0	5.97	13.41	0	0	1000	0	1000	0	1000	0
9	1	43.87	8.42	13	712	738	641	730	462	575	10
9	2	29.35	90.19	7	760	767	737	918	717	918	10
9	3	3.35	65.06	29	636	704	736	947	694	947	10
9	4	57.82	53.84	8	333	447	749	856	744	933	10
9	5	48.25	37.56	13	813	950	730	950	200	410	10
9	6	36.05	49.21	5	785	799	306	533	383	856	10
9	7	73.33	28.96	22	360	547	630	757	460	632	10
9	8	4.70	99.34	8	251	287	115	132	173	913	10
9	9	13.43	25.41	16	731	771	599	847	163	262	10
9	10	31.75	88.40	9	82	255	643	919	106	430	10
9	11	60.50	50.36	19	330	333	84	251	753	933	10
9	12	89.57	49.84	2	785	830	522	907	804	907	10
9	13	23.65	68.93	28	772	833	499	557	768	940	10
9	14	88.84	71.16	22	589	671	791	897	504	897	10
9	15	73.30	94.89	14	655	747	336	394	605	893	10
9	16	5.24	30.88	42	558	696	156	422	439	981	10
9	17	59.40	93.75	12	160	301	899	902	893	902	10
9	18	20.66	81.36	11	262	279	853	929	767	929	10
9	19	18.24	93.52	16	307	325	275	854	634	917	10
9	20	22.67	29.05	16	468	570	400	505	498	976	10
10	0	90.88	1.28	0	0	1000	0	1000	0	1000	0
10	1	92.46	98.21	32	798	849	526	702	243	456	10
10	2	77.22	25.37	7	889	904	636	971	461	557	10
10	3	91.31	52.87	12	658	878	484	589	880	885	10
10	4	52.18	6.88	13	657	747	345	803	882	959	10
10	5	92.80	28.29	4	818	846	164	381	927	971	10
10	6	67.35	58.63	19	218	325	734	837	486	937	10
10	7	65.36	53.51	17	518	561	924	940	921	927	10
10	8	33.15	33.31	23	162	268	585	932	761	932	10
10	9	49.09	11.90	11	690	750	836	906	762	955	10
10	10	27.45	20.40	16	303	380	702	885	401	932	10
10	11	41.11	30.24	6	249	327	357	382	385	613	10
10	12	76.67	73.51	21	109	132	897	925	868	925	10
10	13	19.21	41.83	5	779	916	481	551	98	632	10
10	14	1.98	98.78	34	562	641	726	867	563	867	10
10	15	35.27	96.47	26	419	489	463	883	305	538	10
10	16	20.36	94.67	5	772	820	805	881	433	704	10
10	17	90.06	71.44	21	492	652	769	782	750	928	10
10	18	65.16	79.96	10	757	765	260	354	404	770	10
10	19	52.07	58.54	19	256	270	731	847	311	499	10
10	20	89.05	94.21	9	498	522	107	227	889	906	10
11	0	42.91	76.75	0	0	1000	0	1000	0	1000	0
11	1	45.94	10.54	20	469	518	877	932	289	587	10
11	2	82.04	62.92	18	455	487	710	742	544	743	10
11	3	16.94	64.37	3	767	970	802	930	73	515	10
11	4	40.09	17.29	16	399	423	297	726	214	574	10
11	5	28.58	75.40	3	26	186	714	984	973	984	10
11	6	80.71	44.05	16	162	218	290	643	294	650	10
11	7	31.71	50.26	11	383	574	718	970	436	849	10
11	8	89.54	4.27	1	301	364	701	912	592	859	10
11	9	98.85	29.04	16	534	542	332	383	291	861	10
11	10	54.08	15.99	20	426	589	93	217	269	358	10
11	11	1.03	18.48	12	860	927	327	524	300	344	10
11	12	49.92	98.19	40	652	728	744	889	717	976	10
11	13	31.79	87.67	8	732	778	317	627	724	983	10
11	14	20.39	26.55	1	117	208	274	943	749	943	10
11	15	31.14	21.75	1	371	410	260	267	115	644	10
11	16	9.97	73.85	17	852	960	894	965	107	238	10
11	17	81.79	83.98	2	354	567	281	335	133	201	10
11	18	58.10	99.13	3	386	403	265	630	301	433	10
11	19	49.74	92.16	13	269	355	51	53	673	982	10
11	20	65.92	89.46	11	455	602	39	341	143	457	10
12	0	3.56	4.71	0	0	1000	0	1000	0	1000	0
12	1	10.14	67.73	26	203	257	375	669	136	180	10
12	2	88.89	91.58	17	310	334	586	877	447	451	10
12	3	23.16	38.60	24	915	959	548	580	483	855	10
12	4	46.80	45.42	17	936	939	450	813	258	757	10
12	5	27.96	10.69	17	883	929	161	251	545	973	10
12	6	19.15	54.76	21	163	228	906	946	668	724	10
12	7	78.99	14.55	41	447	497	749	922	889	922	10
12	8	2.26	52.33	14	729	870	935	951	84	951	10
12	9	23.36	63.10	21	698	729	816	937	785	937	10
12	10	10.81	25.42	9	968	977	768	977	234	977	10
12	11	94.89	9.73	18	695	695	124	249	762	907	10
12	12	71.60	34.46	7	579	635	701	882	252	502	10
12	13	81.90	28.26	5	713	782	175	268	748	917	10
12	14	43.13	30.62	5	877	905	940	951	658	951	10
12	15	15.42	14.86	20	857	865	571	628	979	983	10
12	16	35.40	38.13	8	941	952	111	758	659	952	10
12	17	93.87	87.21	17	341	379	773	876	133	149	10
12	18	91.30	63.54	23	816	864	812	893	544	678	10
12	19	15.86	21.57	10	258	484	507	515	48	267	10
12	20	90.18	56.23	26	590	783	744	857	483	898	10
13	0	39.40	33.46	0	0	1000	0	1000	0	1000	0
13	1	49.90	91.45	8	408	447	285	598	920	940	10
13	2	20.28	45.01	12	489	493	413	576	510	658	10
13	3	77.27	52.72	8	616	802	83	356	596	787	10
13	4	27.61	10.27	23	864	972	522	564	943	972	10
13	5	58.48	72.16	31	655	815	475	608	392	401	10
13	6	58.25	99.23	20	569	634	764	930	864	930	10
13	7	25.83	36.57	6	591	706	684	985	663	708	10
13	8	84.62	73.13	19	559	567	685	864	399	898	10
13	9	72.80	54.26	10	742	805	100	343	260	726	10
13	10	37.15	79.86	26	900	911	647	921	190	423	10
13	11	74.83	61.87	26	233	234	532	727	388	707	10
13	12	60.87	89.48	31	768	899	736	831	351	934	10
13	13	84.41	97.67	16	554	716	198	218	770	917	10
13	14	26.35	82.90	13	666	753	313	388	173	662	10
13	15	18.46	17.19	11	905	972	75	273	145	493	10
13	16	78.25	80.69	16	683	712	182	311	634	937	10
13	17	51.45	39.74	6	539	594	176	445	571	985	10
13	18	52.39	2.30	18	760	965	343	371	293	965	10
13	19	4.51	30.28	18	512	539	652	691	930	934	10
13	20	21.03	10.91	10	583	622	150	429	76	438	10
14	0	72.68	17.95	0	0	1000	0	1000	0	1000	0
14	1	16.68	30.76	12	629	762	917	941	397	895	10
14	2	81.64	88.12	8	348	430	658	928	348	887	10
14	3	20.49	66.84	10	284	355	658	862	599	896	10
14	4	15.59	59.47	6	709	917	503	568	870	928	10
14	5	55.99	95.02	19	470	480	230	287	205	920	10
14	6	93.90	83.67	36	308	334	184	454	893	929	10
14	7	58.99	26.78	31	776	819	894	982	341	567	10
14	8	16.94	64.65	2	297	378	619	926	536	926	10
14	9	75.04	25.77	15	832	889	123	325	219	741	10
14	10	51.39	62.48	33	542	577	194	249	625	766	10
14	11	21.60	28.60	19	800	825	907	946	109	113	10
14	12	45.76	21.02	12	87	155	409	546	44	226	10
14	13	52.58	24.47	13	799	850	581	595	492	628	10
14	14	73.01	59.97	17	277	322	433	455	763	956	10
14	15	9.39	65.33	37	86	189	149	231	625	792	10
14	16	33.45	93.36	13	908	913	407	847	791	913	10
14	17	43.46	49.65	3	340	378	454	646	602	677	10
14	18	76.54	5.96	2	339	395	451	711	837	986	10
14	19	67.04	45.08	16	580	617	829	971	945	971	10
14	20	86.92	68.24	33	371	372	488	649	189	946	10
15	0	92.47	64.50	0	0	1000	0	1000	0	1000	0
15	1	55.27	72.92	6	107	333	169	244	609	861	10
15	2	3.51	97.55	16	424	464	296	374	863	881	10
15	3	49.52	23.39	9	285	299	260	919	396	939	10
15	4	89.80	12.68	13	608	649	94	455	699	947	10
15	5	28.91	66.88	16	740	791	887	935	340	501	10
15	6	63.02	64.17	24	703	780	892	919	686	969	10
15	7	1.54	64.29	21	125	203	375	642	677	879	10
15	8	71.65	33.02	24	338	451	316	325	551	961	10
15	9	47.23	79.41	23	434	660	198	297	281	951	10
15	10	46.43	77.03	1	763	790	53	357	214	642	10
15	11	86.57	15.52	12	105	125	268	364	301	949	10
15	12	45.33	39.00	25	430	473	840	905	803	945	10
15	13	43.10	84.72	5	466	519	356	465	58	630	10
15	14	1.85	13.33	8	743	894	700	841	480	775	10
15	15	75.75	17.20	10	863	948	157	849	879	889	10
15	16	9.42	17.76	12	822	903	744	903	307	903	10
15	17	93.07	30.18	19	186	279	882	964	850	964	10
15	18	53.53	35.79	6	585	596	213	273	109	454	10
15	19	80.57	60.42	31	658	716	761	986	258	319	10
15	20	35.93	23.78	4	571	643	796	929	406	750	10
16	0	62.76	85.92	0	0	1000	0	1000	0	1000	0
16	1	0.53	51.34	7	101	250	690	847	490	681	10
16	2	94.59	17.54	5	755	923	679	828	168	710	10
16	3	54.51	43.81	11	454	578	240	956	699	956	10
16	4	18.32	35.90	23	140	184	119	333	426	848	10
16	5	11.26	76.64	2	119	220	903	946	833	946	10
16	6	88.25	13.69	17	146	220	251	346	130	385	10
16	7	44.96	50.18	12	523	703	408	488	719	955	10
16	8	32.93	36.06	6	398	416	502	892	336	919	10
16	9	35.31	33.29	32	931	939	521	664	344	441	10
16	10	43.78	31.78	13	891	923	445	941	762	806	10
16	11	34.58	67.54	8	511	624	209	399	545	590	10
16	12	6.11	96.46	24	78	194	547	595	884	941	10
16	13	49.11	3.43	25	654	725	155	385	841	915	10
16	14	52.59	96.97	32	297	384	86	114	216	517	10
16	15	66.43	57.65	30	756	970	265	305	254	778	10
16	16	32.39	50.18	31	147	223	708	952	347	476	10
16	17	36.79	83.69	5	30	45	174	568	943	972	10
16	18	56.97	48.28	14	892	960	450	604	129	308	10
16	19	81.69	43.87	11	276	367	221	233	527	735	10
16	20	66.87	4.28	32	734	763	914	917	186	521	10
17	0	82.75	13.60	0	0	1000	0	1000	0	1000	0
17	1	12.91	68.72	11	824	910	484	591	718	910	10
17	2	70.90	62.53	9	657	751	118	674	412	569	10
17	3	82.44	0.74	28	802	824	779	804	143	464	10
17	4	83.48	52.02	15	752	834	151	373	222	463	10
17	5	53.50	62.51	19	476	485	291	784	833	942	10
17	6	0.19	7.83	10	274	283	367	541	89	454	10
17	7	72.90	26.94	13	901	982	773	780	430	798	10
17	8	1.15	46.82	12	470	664	401	835	605	891	10
17	9	48.10	85.44	1	912	919	795	860	251	262	10
17	10	60.62	62.70	3	532	577	816	945	599	945	10
17	11	78.44	96.60	22	897	915	373	726	118	724	10
17	12	54.44	93.46	11	787	914	201	252	805	914	10
17	13	46.32	99.07	1	502	590	171	385	224	248	10
17	14	97.20	76.81	26	794	889	903	934	610	934	10
17	15	82.69	90.50	24	816	845	602	704	709	841	10
17	16	62.18	71.99	25	240	332	338	493	248	820	10
17	17	44.79	93.30	27	555	613	886	910	132	236	10
17	18	57.42	62.95	20	196	334	544	625	229	943	10
17	19	27.09	2.40	16	652	685	83	121	65	117	10
17	20	72.93	89.82	16	265	395	672	825	895	922	10
18	0	0.13	74.98	0	0	1000	0	1000	0	1000	0
18	1	6.72	33.92	32	625	630	84	190	948	957	10
18	2	2.58	43.55	14	448	476	352	504	784	967	10
18	3	16.76	22.80	16	355	387	341	419	813	944	10
18	4	93.60	2.84	27	700	758	743	751	455	737	10
18	5	10.16	64.13	12	973	984	106	601	901	984	10
18	6	43.85	13.97	19	695	726	440	716	108	651	10
18	7	53.10	30.30	14	578	634	132	449	314	658	10
18	8	60.20	59.88	25	919	937	794	937	735	937	10
18	9	39.12	31.88	22	916	939	378	823	524	567	10
18	10	85.28	24.58	16	846	900	612	900	657	900	10
18	11	62.20	17.31	13	696	731	216	452	821	914	10
18	12	70.69	26.80	7	558	592	746	913	384	800	10
18	13	33.48	60.05	18	421	541	440	780	148	484	10
18	14	35.15	12.38	2	280	315	902	927	533	824	10
18	15	91.77	39.13	25	613	735	504	900	877	900	10
18	16	84.65	59.48	32	116	330	149	538	699	913	10
18	17	70.27	40.63	29	165	300	189	581	284	316	10
18	18	44.03	54.16	25	860	921	767	950	908	950	10
18	19	24.50	51.22	1	412	484	867	960	185	964	10
18	20	83.64	61.00	11	177	414	682	914	148	427	10
19	0	65.32	9.86	0	0	1000	0	1000	0	1000	0
19	1	31.62	4.27	21	465	495	528	578	931	964	10
19	2	61.46	43.11	10	750	753	323	446	297	743	10
19	3	44.51	99.74	3	626	631	874	906	655	690	10
19	4	10.62	89.26	14	300	470	264	580	840	902	10
19	5	61.82	22.74	6	925	985	693	985	221	619	10
19	6	21.44	0.15	9	777	890	553	687	677	931	10
19	7	63.51	13.47	20	322	324	797	836	121	260	10
19	8	57.25	23.18	9	421	492	193	239	660	983	10
19	9	75.69	3.96	11	271	320	101	363	769	987	10
19	10	28.42	87.98	9	863	875	830	874	611	758	10
19	11	34.00	84.74	4	183	224	771	851	331	568	10
19	12	4.29	82.51	7	791	845	226	264	830	904	10
19	13	65.82	56.76	16	620	647	129	340	101	496	10
19	14	87.81	84.94	18	812	896	777	920	615	674	10
19	15	34.31	54.77	13	828	876	588	944	310	463	10
19	16	45.19	19.99	24	344	352	869	976	689	779	10
19	17	41.44	52.90	7	212	407	616	803	941	949	10
19	18	59.26	25.48	32	314	485	646	982	543	982	10
19	19	7.56	99.19	20	633	720	144	368	723	892	10
19	20	22.53	54.33	10	669	728	888	937	649	845	10
20	0	53.89	12.65	0	0	1000	0	1000	0	1000	0
20	1	2.81	32.04	15	690	691	333	453	377	509	10
20	2	56.98	21.17	10	702	762	983	989	400	783	10
20	3	78.69	41.51	6	469	520	374	723	484	960	10
20	4	25.76	0.37	41	961	968	872	968	654	968	10
20	5	6.32	42.82	10	684	736	833	942	566	942	10
20	6	60.37	58.07	17	87	141	876	953	522	865	10
20	7	44.19	37.55	21	330	440	649	651	253	508	10
20	8	86.27	55.40	20	448	493	757	945	334	635	10
20	9	44.33	69.61	7	551	556	99	173	663	941	10
20	10	3.93	44.18	5	669	784	105	112	515	939	10
20	11	22.38	86.36	12	240	338	685	755	406	410	10
20	12	70.19	48.12	7	110	188	749	959	626	696	10
20	13	86.30	91.43	26	666	786	757	913	495	502	10
20	14	69.66	47.86	2	798	855	790	960	226	241	10
20	15	97.55	31.99	9	476	707	283	382	119	711	10
20	16	19.73	79.22	7	260	267	283	560	696	924	10
20	17	31.24	32.42	16	217	218	627	968	775	968	10
20	18	31.96	42.39	24	57	87	698	962	302	414	10
20	19	26.36	60.10	2	915	944	222	262	385	944	10
20	20	95.70	55.97	23	127	257	121	267	571	892	10
21	0	9.72	95.25	0	0	1000	0	1000	0	1000	0
21	1	30.15	6.59	23	137	382	650	831	169	474	10
21	2	77.54	92.31	9	245	479	121	208	657	849	10
21	3	6.32	87.24	18	674	738	152	451	677	990	10
21	4	91.91	28.78	19	518	570	556	893	670	893	10
21	5	22.28	91.63	8	862	880	570	985	561	635	10
21	6	41.27	88.15	9	563	623	248	453	809	835	10
21	7	55.80	97.08	2	675	714	873	952	813	952	10
21	8	16.07	84.13	2	606	656	868	917	185	190	10
21	9	2.09	17.43	21	848	917	204	427	358	571	10
21	10	95.68	75.62	1	890	910	749	910	592	682	10
21	11	68.46	33.85	24	424	453	467	490	474	914	10
21	12	72.79	7.05	29	302	401	648	890	768	890	10
21	13	70.12	53.71	15	471	567	852	925	230	821	10
21	14	77.87	75.50	4	731	784	266	363	492	928	10
21	15	98.39	7.30	8	437	482	385	437	611	874	10
21	16	52.29	82.70	2	581	671	917	954	247	509	10
21	17	62.89	9.80	10	374	393	495	898	373	751	10
21	18	20.30	86.19	19	324	395	499	892	703	902	10
21	19	17.09	83.46	18	392	422	239	832	360	446	10
21	20	52.45	70.59	11	468	630	272	596	413	943	10
22	0	92.41	74.86	0	0	1000	0	1000	0	1000	0
22	1	29.11	14.62	13	332	584	286	319	513	911	10
22	2	25.11	70.38	5	808	865	87	354	832	906	10
22	3	77.90	1.71	14	93	133	83	200	579	637	10
22	4	92.32	67.88	15	557	687	303	992	15	436	10
22	5	55.16	26.55	23	579	675	460	500	548	938	10
22	6	5.21	33.61	21	505	688	403	682	518	902	10
22	7	70.86	35.39	22	208	275	420	553	165	170	10
22	8	94.33	90.26	13	750	877	341	643	331	846	10
22	9	2.06	73.43	5	302	394	725	908	267	531	10
22	10	54.93	75.28	4	781	821	958	961	672	867	10
22	11	66.40	15.61	34	575	826	433	934	404	675	10
22	12	98.73	80.59	4	416	581	753	990	224	348	10
22	13	22.78	62.32	10	375	399	85	139	477	885	10
22	14	5.81	48.25	10	906	908	575	811	182	595	10
22	15	38.82	74.94	4	699	768	58	94	733	750	10
22	16	23.12	40.25	23	250	299	500	863	455	921	10
22	17	48.05	43.87	9	802	910	632	884	230	415	10
22	18	56.59	32.13	10	187	205	842	943	391	788	10
22	19	97.32	3.99	22	83	145	635	873	432	878	10
22	20	82.22	62.62	11	27	85	956	983	773	983	10
